name,pricing_type,min_charge,pricing_value,price_as_fabric,tier_formula,assembler_note,seamstress_note,embellisher_note,is_embellishment_option,is_interlining_option,parent_name,data
"Ties - Inset Sides, Bottom, Top",flat,,28,0,,,,,0,0,Ties,size_bottom;size_sides;size_top;inset_size_sides;inset_size_bottom;inset_size_top;
Ties - Sides,flat,,28,0,,,,,0,0,Ties,size_sides;
"Ties - Sides, Bottom",flat,,28,0,,,,,0,0,Ties,size_bottom;size_sides;
"Ties - Sides, Bottom, Top",flat,,28,0,,,,,0,0,Ties,size_bottom;size_sides;size_top;
Ties With Bows - Bottom,flat,,28,0,,,,,0,0,Ties With Bows,size_bottom;
Ties With Bows - Inset Bottom,flat,,28,0,,,,,0,0,Ties With Bows,size_bottom;inset_size_bottom;
Ties With Bows - Inset Sides,flat,,28,0,,,,,0,0,Ties With Bows,size_sides;inset_size_sides;
"Ties With Bows - Inset Sides, Bottom",flat,,28,0,,,,,0,0,Ties With Bows,size_bottom;size_sides;inset_size_sides;inset_size_bottom;
"Ties With Bows - Inset Sides, Bottom, Top",flat,,28,0,,,,,0,0,Ties With Bows,size_bottom;size_sides;size_top;inset_size_sides;inset_size_bottom;inset_size_top;
Ties With Bows - Sides,flat,,28,0,,,,,0,0,Ties With Bows,size_sides;
"Ties With Bows - Sides, Bottom",flat,,28,0,,,,,0,0,Ties With Bows,size_bottom;size_sides;
"Ties With Bows - Sides, Bottom, Top",flat,,28,0,,,,,0,0,Ties With Bows,size_bottom;size_sides;size_top;
Trim - Bottom,w1,16,4,0,,,,,1,0,Trim,size_bottom;
Trim - Inset Bottom,w1,16,4,0,,,,,1,0,Trim,size_bottom;inset_size_bottom;
